Macrophages,Healthy,Infected,Leishmanias
80,80,0,4
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
80,78,2,0
78,56,22,15
97,66,31,1
121,90,31,0
151,120,31,0
188,157,31,0
235,204,31,0
293,262,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
366,335,31,0
344,70,274,225
335,15,320,461
335,9,326,447
335,1,334,424
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
335,0,335,423
