Macrophages,Healthy,Infected,Leishmanias
80,80,0,4
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
80,80,0,0
