Macrophages,Healthy,Infected,Leishmanias
80,80,0,4
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
80,79,1,0
79,77,2,0
98,96,2,0
122,120,2,0
152,150,2,0
190,188,2,0
237,235,2,0
296,294,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
370,368,2,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
368,362,6,0
